委托单编号,装点,装点经度,装点纬度,卸点,卸点经度,卸点纬度,货物类型,运量,起始日期,截止日期,单价（元/吨或元/车）
WTD202110140069,曹羊复线铧尖煤矿,110.545796,39.668672,内蒙大唐国际托克托发电有限责任公司,111.361703,40.174662,煤炭,9999,2021-10-14T00:00:00.000+08:00,2022-10-01T23:59:59.000+08:00,118.38
WTD202110140068,曹羊复线铧尖煤矿,110.545796,39.668672,内蒙大唐国际托克托发电有限责任公司,111.361703,40.174662,煤炭,99999,2021-11-02T00:00:00.000+08:00,2022-11-01T23:59:59.000+08:00,118.38
WTD202202250144,孙三沟,117.010156,40.34742,刘牛圪旦,110.387295,40.527884,煤炭,30000,2022-02-21T00:00:00.000+08:00,2022-12-22T23:59:59.000+08:00,100
WTD202202190007,昊华精煤有限责任公司,110.072874,39.728676,敖包沟集装站,116.409898,39.969402,煤,10000,2022-02-07T00:00:00.000+08:00,2022-03-07T23:59:59.000+08:00,14
WTD202202090020,李二沟,116.125847,40.755957,中物码头,116.459673,39.955775,沫煤,20000,2022-02-03T00:00:00.000+08:00,2022-03-01T23:59:59.000+08:00,250
WTD202202090019,李二沟,116.125847,40.755957,中物码头,116.459673,39.955775,13籽,10000,2022-02-08T00:00:00.000+08:00,2022-03-09T23:59:59.000+08:00,255
WTD202202240045,康家沟,116.5143,39.910037,草原村85号煤场,116.444152,39.965777,煤炭,200000,2022-01-04T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,45
WTD202201180072,巴隆图煤矿,110.122211,39.842648,三垧梁工业园区,110.04594,40.31436,9号洗粒煤,10000,2022-01-01T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,55
WTD202202280122,巴隆图煤矿,110.122211,39.842648,明华集装站,116.071443,39.819998,煤,999999,2022-01-26T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,90
WTD202202250145,内蒙古汇能煤电集团巴隆图煤炭有限公司,110.122211,39.842648,刘牛圪旦,110.387295,40.527884,煤炭,30000,2022-02-21T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,100
WTD202202190030,内蒙古恒泰煤业(集团)有限公司,116.360869,39.940673,明华集装站,116.071443,39.819998,煤,999999,2022-01-26T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,75
WTD202201060147,色连二矿办公楼,109.848156,39.864709,图克镇大2线呼吉尔特村,109.383867,38.998551,煤炭,100000,2022-01-05T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,80
WTD202202200017,宏丰煤矿,119.915818,37.189544,东方希望包头稀土铝业有限责任公司,109.808388,40.590807,煤炭,900000,2022-02-20T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,61.91
WTD202202280162,盛鑫煤业有限责任公司,116.360869,39.940673,草原村85号煤场,116.444152,39.965777,煤炭,200000,2022-01-04T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,27
WTD202202180209,亿宏煤矿,116.360869,39.940673,明华集装站,116.071443,39.819998,煤,999999,2022-01-26T00:00:00.000+08:00,2022-03-31T23:59:59.000+08:00,90
WTD202202230108,小鄂勒斯太沟,117.330595,40.627164,中物码头,116.459673,39.955775,原煤,10000,2022-02-22T00:00:00.000+08:00,2022-03-31T23:59:59.000+08:00,300
WTD202202220129,红庆梁煤矿,109.528965,39.98605,草原村85号煤场,116.444152,39.965777,煤炭,200000,2022-02-22T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,45
WTD202202280327,内蒙古乌海市万源露天煤业有限责任公司,106.937382,39.391232,乌海市海南万晨能源选煤有限公司,106.935621,39.446405,原煤,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,18
WTD202202280272,内蒙古乌海市万源露天煤业有限责任公司,106.937382,39.391232,乌海市千里山选煤有限责任公司（卸）,106.907617,39.863532,原煤,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,30
WTD202112290109,会祥钢材,116.78825,39.77708,田家寨镇,101.797246,36.45311,钢材,10000,2021-12-29T17:53:00.000+08:00,2022-12-30T00:00:00.000+08:00,120
WTD202202280025,托克托县嘉一路,111.193879,40.277703,天津琦晟储运有限公司,117.569995,38.949487,煤炭,3000,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,250
WTD202201240109,呼准公路57.5公里百泓煤场,111.464675,40.480212,新店子镇上脑亥村内蒙古和林发电厂,112.164727,40.267322,煤,600000,2022-01-23T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,29.8
WTD202201240104,内蒙古自治区呼和浩特市托克托县呼准公路57.5公里百泓煤场,111.464675,40.480212,内蒙古自治区乌兰察布市卓资县工业路华伊卓资热电有限公司,112.646641,40.92279,煤,900000,2022-01-12T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,74.85
WTD202201270125,呼准公路57公里泓吉煤场,111.325337,40.223673,新店子镇上脑亥村内蒙古和林发电厂,112.164727,40.267322,煤,900000,2022-01-27T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,63.01
WTD202202180212,马圈圐圙李五兴煤矿,111.325337,40.223673,明华集装站,116.071443,39.819998,煤,999999,2022-01-26T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,60
WTD202202180213,吉格斯太煤厂,110.523742,40.235085,明华集装站,116.071443,39.819998,煤,999999,2022-01-26T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,28
WTD202201280026,草原村85号煤场,116.444152,39.965777,包头美科硅能源有限公司,109.663351,40.647943,煤炭,600000,2022-01-17T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,56
WTD202112130088,达拉特旗高头窑李虎煤炭代购,109.65387,40.111964,周家圪旦,109.663351,40.647943,煤炭,100000,2021-12-10T00:00:00.000+08:00,2022-12-11T23:59:59.000+08:00,55
WTD202202140028,树林召镇草原村,110.029252,40.31356,亿利化工,109.982651,40.364515,粉煤,100000,2022-02-14T09:50:00.000+08:00,2022-12-31T00:00:00.000+08:00,40
WTD202202280330,乌海市海南万晨能源选煤有限公司,106.935621,39.446405,内蒙古乌海市万源露天煤业有限责任公司,106.937382,39.391232,矸石,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,10
WTD202202280282,乌海市海南万晨能源选煤有限公司,106.935621,39.446405,乌海市千里山选煤有限责任公司,106.907617,39.863532,介质粉,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,26.5
WTD202202280192,乌海市海南万晨能源选煤有限公司,106.935621,39.446405,内蒙古黄河工贸集团千里山煤焦化有限责任公司,106.907617,39.863532,精煤,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,29
WTD202202220059,金秋酒家,116.473274,39.906836,田家寨镇,101.797246,36.45311,钢材,500,2022-02-22T09:39:00.000+08:00,2022-05-23T00:00:00.000+08:00,115
WTD202202250143,曙光钢材市场,116.323469,39.949012,内蒙古蒙鑫钢结构工程有限公司,116.6468,39.807393,钢材,1000,2022-02-19T00:00:00.000+08:00,2022-11-20T23:59:59.000+08:00,120
WTD202202190060,曙光钢材市场,116.323469,39.949012,民乐县志达彩钢,100.670873,38.702476,钢材,500,2022-02-19T00:00:00.000+08:00,2022-03-19T23:59:59.000+08:00,290
WTD202202160090,曙光钢材市场,116.323469,39.949012,江苏工业园,115.954874,40.439869,钢材,1000,2022-02-16T13:55:00.000+08:00,2022-11-17T00:00:00.000+08:00,140
WTD202201270001,曙光钢材市场,116.323469,39.949012,元福城物流园区,116.315525,39.856538,钢材,1000,2022-01-27T00:04:00.000+08:00,2022-12-31T00:00:00.000+08:00,110
WTD202201060121,曙光钢材市场,116.323469,39.949012,红果子工业园区,106.713122,39.123607,钢材,10000,2022-01-06T13:45:00.000+08:00,2022-12-31T00:00:00.000+08:00,190
WTD202202280308,内蒙古君正能源化工股份有限公司电厂,116.656377,39.64952,内蒙古万晨能源股份有限公司千峰水泥分公司,116.347503,39.942922,炉渣,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,11
WTD202202270042,内蒙古君正能源化工股份有限公司,106.803295,39.904028,山西省吕梁孝义市梧桐工业园区,111.840914,37.067569,硅铁,5000,2022-02-27T12:10:00.000+08:00,2022-05-28T00:00:00.000+08:00,150
WTD202202180027,内蒙古君正能源化工股份有限公司,106.803295,39.904028,山西新能源镁业有限公司,112.256659,37.564516,硅铁,5000,2022-02-18T08:53:00.000+08:00,2022-05-01T00:00:00.000+08:00,135
WTD202112030007,大城西煤炭物流园区,116.807286,40.220457,沁水源煤业,111.999871,35.56656,煤炭,100000,2021-11-29T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,24
WTD202110210028,棋盘井,107.014433,39.380037,欣耀煤炭园区,116.669534,39.643271,原煤,100000,2021-10-20T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,155
WTD202202280304,乌海市海勃湾热电厂,106.8302,39.70519,内蒙古万晨能源股份有限公司千峰水泥分公司,116.347503,39.942922,粉煤灰,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,15
WTD202202280329,乌海市摩尔沟煤炭有限公司,106.888529,39.702526,乌海市海南万晨能源选煤有限公司,106.935621,39.446405,原煤,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,17
WTD202202280252,乌海市摩尔沟煤炭有限公司,106.888529,39.702526,乌海市千里山选煤有限责任公司,106.907617,39.863532,原煤,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,12
WTD202202280293,乌海市千里山选煤有限责任公司东场地,106.831477,39.67246,乌海市千里山选煤有限责任公司原煤大棚,106.907617,39.863532,原煤,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,63
WTD202202280355,内蒙古万晨石灰有限公司（装）,116.226311,40.229743,内蒙古万晨石灰有限公司#卸点,116.055767,39.853311,窑皮灰/粉矿,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,1.54
WTD202202280354,内蒙古万晨石灰有限公司（装）,116.226311,40.229743,内蒙古万晨石灰有限公司#卸点,116.055767,39.853311,面煤,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,2.1
WTD202202280351,内蒙古万晨石灰有限公司（装）,116.226311,40.229743,内蒙古万晨石灰有限公司#卸点,116.055767,39.853311,倒土方,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,52.5
WTD202202280348,内蒙古万晨石灰有限公司（装）,116.226311,40.229743,内蒙古万晨石灰有限公司#卸点,116.055767,39.853311,倒运石料,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,2.45
WTD202202280345,内蒙古万晨石灰有限公司（装）,116.226311,40.229743,内蒙古万晨石灰有限公司#卸点,116.055767,39.853311,面灰,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,1.19
WTD202202280343,内蒙古万晨石灰有限公司（装）,116.226311,40.229743,内蒙古万晨石灰有限公司#卸点,116.055767,39.853311,除尘灰,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,5
WTD202202280317,内蒙古万晨石灰有限公司（装）,116.226311,40.229743,内蒙古建龙包钢万腾特殊钢有限责任公司,106.821346,39.669087,白灰面,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,8.7
WTD202202280316,内蒙古万晨石灰有限公司（装）,116.226311,40.229743,内蒙古建龙包钢万腾特殊钢有限责任公司,106.821346,39.669087,白灰块,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,7
WTD202202240428,九峰山生态管理委员会,110.681693,40.714195,小袄兑村,110.559071,40.54777,煤,500000,2022-01-01T00:00:00.000+08:00,2022-04-30T23:59:59.000+08:00,22
WTD202202280299,乌海市千里山选煤有限责任公司,106.907617,39.863532,内蒙古万晨能源股份有限公司千峰水泥分公司,116.347503,39.942922,中煤,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,2.5
WTD202202280295,乌海市千里山选煤有限责任公司,106.907617,39.863532,乌海市千里山选煤有限责任公司（卸）,106.907617,39.863532,倒运废铁,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,560
WTD202202280288,乌海市千里山选煤有限责任公司,106.907617,39.863532,乌海市千里山选煤有限责任公司（卸）,106.907617,39.863532,矸石,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,1.14
WTD202202280278,乌海市千里山选煤有限责任公司,106.907617,39.863532,乌海市科兆恒升环保建材有限责任公司,106.846755,39.704213,矸石,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,13.5
WTD202202280275,乌海市千里山选煤有限责任公司,106.907617,39.863532,乌海市摩尔沟煤炭有限公司,106.888529,39.702526,矸石,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,7
WTD202202280196,乌海市千里山选煤有限责任公司,106.907617,39.863532,内蒙古黄河工贸集团千里山煤焦化有限责任公司,106.907617,39.863532,精煤,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,4.8
WTD202202280292,乌海市千里山选煤有限责任公司西场地,106.907617,39.863532,乌海市千里山选煤有限责任公司原煤大棚,106.907617,39.863532,原煤,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,63
WTD202202280247,内蒙古众利惠农物流有限公司,116.347192,39.812874,内蒙古黄河工贸集团千里山煤焦化有限责任公司,106.907617,39.863532,混料,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,5.5
WTD202202280336,内蒙古万晨能源股份有限公司千峰水泥分公司,116.347503,39.942922,内蒙古万晨能源股份有限公司千峰水泥分公司#卸点#,116.656377,39.64952,清理垃圾,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,70
WTD202202280334,内蒙古万晨能源股份有限公司千峰水泥分公司,116.347503,39.942922,内蒙古万晨能源股份有限公司千峰水泥分公司#卸点#,116.656377,39.64952,倒运石料,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,2
WTD202202280333,内蒙古万晨能源股份有限公司千峰水泥分公司,116.347503,39.942922,内蒙古万晨能源股份有限公司千峰水泥分公司#卸点#,116.656377,39.64952,倒运粉矿,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,1.4
WTD202202280325,内蒙古黄河工贸集团千里山煤焦化有限责任公司,106.907617,39.863532,内蒙古建龙包钢万腾特殊钢有限责任公司,106.821346,39.669087,焦粉,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,5.5
WTD202202280249,内蒙古黄河工贸集团千里山煤焦化有限责任公司,106.907617,39.863532,内蒙古黄河工贸集团千里山煤焦化有限责任公司（卸）,106.907617,39.863532,脱硫剂,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,560
WTD202202280242,内蒙古黄河工贸集团千里山煤焦化有限责任公司,106.907617,39.863532,鄂尔多斯市氯碱化工有限公司一分厂,107.004477,39.355613,焦炭,5000,2022-02-28T00:00:00.000+08:00,2022-03-28T00:00:00.000+08:00,35
WTD202202150097,内蒙古亚新隆顺特钢有限公司,110.236879,40.690771,蒙西双星环保办公楼,116.410753,39.972265,钢材,1000,2022-02-15T15:52:00.000+08:00,2022-12-16T00:00:00.000+08:00,90
WTD202201270026,内蒙古亚新隆顺特钢有限公司,110.236879,40.690771,鼎诺钢铁,116.410753,39.972265,钢材,1000,2022-01-27T10:05:00.000+08:00,2022-10-28T00:00:00.000+08:00,40
WTD202201030070,内蒙古君诚兴业管道科技股份有限公司,109.683184,40.612032,大柳塔镇,110.233282,39.275025,钢材,10000,2021-12-17T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,60
WTD202202190091,内蒙古包头市昆都仑区110国道和南绕城交叉路口,109.6558,40.661631,西来峰工业园区,106.907399,39.381066,重介粉（铁粉）,5000,2022-02-19T21:21:00.000+08:00,2022-12-31T00:00:00.000+08:00,75
WTD202201240067,内蒙古包头市昆都仑区110国道和南绕城交叉路口,109.6558,40.661631,伊泰广联煤化有限公司,116.357134,39.946738,重介粉（铁粉）,3000,2022-01-24T11:18:00.000+08:00,2022-12-25T00:00:00.000+08:00,60
WTD202201130082,内蒙古包头市昆都仑区110国道和南绕城交叉路口,109.6558,40.661631,纳林陶亥镇伊泰宝山煤矿,110.325593,39.378317,重介粉（铁粉）,1000,2022-01-13T12:00:00.000+08:00,2022-12-13T00:00:00.000+08:00,60
WTD202111050023,内蒙古包头市昆都仑区110国道和南绕城交叉路口,109.6558,40.661631,纳林陶亥镇伊泰宝山煤矿,110.325593,39.378317,重介粉（铁粉）,1000,2021-11-05T00:00:00.000+08:00,2022-11-05T23:59:59.000+08:00,70
WTD202111030001,内蒙古包头市昆都仑区110国道和南绕城交叉路口,109.6558,40.661631,内蒙古鄂尔多斯市东胜区塔拉壕镇塔拉壕煤矿,110.153763,39.792564,重介粉（铁粉）,1000,2021-11-03T00:00:00.000+08:00,2022-11-03T23:59:59.000+08:00,55
WTD202112230043,亿鼎生态农业开发有限公司,108.915226,40.466697,乌拉山站,108.77735,40.657064,尿素(化肥),100000,2021-12-23T15:48:00.000+08:00,2022-12-31T00:00:00.000+08:00,25
WTD202202280027,巴彦淖尔市银海新材料有限责任公司,109.374059,40.567321,包头市昆区河西工业区,109.777099,40.648957,氯化铵废水,9999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,37.6
WTD202202280379,综合料场,116.151463,39.806783,固阳矿山公司,110.063378,41.058087,自产铁精矿,900,2022-03-01T08:00:00.000+08:00,2022-03-02T08:00:00.000+08:00,15
WTD202202280378,综合料场,116.151463,39.806783,固阳矿山公司,110.063378,41.058087,自产铁精矿,2000,2022-03-01T08:00:00.000+08:00,2022-03-02T08:00:00.000+08:00,15
WTD202202140076,包钢钢联特钢公司,109.781072,40.64565,卧虎山路春光锻造厂,116.205878,40.249836,圆钢,10000,2022-02-12T00:00:00.000+08:00,2022-12-13T23:59:59.000+08:00,260
WTD202201270012,包钢钢联特钢公司,109.781072,40.64565,卧虎山路春光锻造厂,116.205878,40.249836,圆钢,10000,2022-01-24T00:00:00.000+08:00,2022-12-25T23:59:59.000+08:00,170
WTD202202280026,内蒙古通威高纯晶硅有限公司,109.660502,40.638678,包头市昆区河西工业区,109.777099,40.648957,氯化钙溶液,9999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,18.8
WTD202202280035,包头市昆区河西工业区,109.777099,40.648957,包钢集团固阳矿山公司,110.063378,41.058087,抑尘剂,9999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,148.9
WTD202202280029,包头市昆区河西工业区,109.777099,40.648957,巴彦淖尔市银海新材料有限责任公司,109.374059,40.567321,氨水,9999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,61.1
WTD202202280012,包头市昆区河西工业区,109.777099,40.648957,鄂尔多斯市东胜区泊江海子矿集装站,109.372475,39.875276,防冻液,9999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,144.76
WTD202202280011,包头市昆区河西工业区,109.777099,40.648957,鄂尔多斯市准格尔旗唐家会集装站,111.21531,39.905466,防冻液,9999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,144.76
WTD202202090107,包头市昆区河西工业区,109.777099,40.648957,沟门镇,110.516617,40.585436,抑尘剂,9999,2022-02-09T00:00:00.000+08:00,2022-03-30T00:00:00.000+08:00,135.36
WTD202202080093,包头市昆区河西工业区,109.777099,40.648957,金山镇补拉河村壕口村,116.194835,39.604565,抑尘剂,9999,2022-02-08T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,99.26
WTD202202080092,包头市昆区河西工业区,109.777099,40.648957,巴盟小佘太,109.533023,41.164914,抑尘剂,9999,2022-02-08T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,90.24
WTD202202050005,包头市昆区河西工业区,109.777099,40.648957,包头市固阳县文圪气,110.261284,41.008025,抑尘剂,99999,2022-02-05T00:00:00.000+08:00,2022-03-30T00:00:00.000+08:00,79.9
WTD202111220055,包头蒙西水泥有限责任公司,109.672865,40.652396,内蒙古呼铁轨枕制造有限公司,109.903063,40.681709,水泥,100000,2021-11-22T00:00:00.000+08:00,2022-11-22T23:59:59.000+08:00,40
WTD202201040121,鹿畅达钢材市场,109.776025,40.669749,建伟钢构三车间,115.894041,39.570198,钢材,1000,2022-01-04T12:12:00.000+08:00,2022-12-24T00:00:00.000+08:00,20
WTD202202280023,包头市昆区河西工业区,109.777099,40.648957,鄂尔多斯市东胜区李家壕喷洒装车站,110.08113,39.797202,防冻液,9999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,122.2
WTD202202280022,包头市昆区河西工业区,109.777099,40.648957,鄂尔多斯市东胜区万利一矿喷洒装车站,110.016608,39.918793,防冻液,9999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,103.4
WTD202202280021,包头市昆区河西工业区,109.777099,40.648957,鄂尔多斯市伊金霍洛旗沙沙圪台喷洒装车站,110.035513,39.662614,防冻液,9999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,141
WTD202202280020,包头市昆区河西工业区,109.777099,40.648957, 鄂尔多斯市伊金霍洛旗乌兰木伦喷洒装车站,110.199887,39.305147,防冻液,9999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,150.4
WTD202202280019,包头市昆区河西工业区,109.777099,40.648957,鄂尔多斯市伊金霍洛旗转龙湾喷洒装车站,110.083603,39.396105,防冻液,9999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,141
WTD202202280018,包头市昆区河西工业区,109.777099,40.648957,陕西省府谷县孤山喷洒装车站,111.031588,39.067196,防冻液,9999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,159.8
WTD202202260041,包头市昆区河西工业区,109.777099,40.648957,布连塔煤矿,110.172975,39.362729,防冻液,9999,2022-02-26T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,150.4
WTD202202260018,包头市昆区河西工业区,109.777099,40.648957,神东布尔台煤矿,110.172975,39.362729,防冻液,9999,2022-02-26T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,141
WTD202202280028,包头市议源化工有限公司,109.700346,40.657353,包头市昆区河西工业区,109.777099,40.648957,氯化铵废水,9999,2022-02-28T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,14.1
WTD202203010013,包钢仓储中心（原燃料二部）,109.700346,40.657353,包钢庆华煤化工公司-筒仓,116.315666,40.04292,炼焦余煤,2000,2022-03-01T08:00:00.000+08:00,2022-03-02T08:00:00.000+08:00,17
WTD202202260086,包钢仓储中心（原燃料二部）,109.700346,40.657353,包钢庆华煤化工公司-筒仓,116.315666,40.04292,炼焦余煤,2000,2022-02-26T00:00:00.000+08:00,2022-03-03T00:00:00.000+08:00,11.45
WTD202202260076,包钢仓储中心（原燃料二部）,109.700346,40.657353,包钢庆华煤化工公司-筒仓,116.315666,40.04292,炼焦余煤,2000,2022-02-26T00:00:00.000+08:00,2022-03-03T00:00:00.000+08:00,11.45
WTD202201100112,千山重工,116.408047,39.973414,白云鄂博矿区云升商,109.973195,41.769955,设备,1000,2022-01-10T12:30:00.000+08:00,2022-12-11T00:00:00.000+08:00,3000
WTD202202150103,内蒙古华世百盛机动车检测技术有限公司,111.550705,40.708896,海子乡,110.66304,40.413495,钢材,1000,2022-02-15T17:59:00.000+08:00,2022-12-16T00:00:00.000+08:00,40
WTD202201140208,图海贸易有限责任公司,116.320279,40.095083,南窑梁村,111.297087,39.445014,钢材,1000,2022-01-14T16:39:00.000+08:00,2022-12-15T00:00:00.000+08:00,2000
WTD202202080091,新蒙物流园,116.59566,40.118003,天宁医院,116.315116,39.834651,钢材,1000,2022-02-08T17:14:00.000+08:00,2022-12-09T00:00:00.000+08:00,20
WTD202201270052,新蒙物流园,116.59566,40.118003,中国石化西河楞加油站,116.465592,39.997576,钢材,1000,2022-01-27T15:19:00.000+08:00,2022-12-28T00:00:00.000+08:00,15
WTD202201270002,新蒙物流园,116.59566,40.118003,内蒙古建伟钢构三车间,116.435837,39.88265,钢材,1000,2022-01-27T00:07:00.000+08:00,2022-12-31T00:00:00.000+08:00,20
WTD202201260121,新蒙物流园,116.59566,40.118003,大城西煤炭物流园区,116.807286,40.220457,钢材,1000,2022-01-26T20:09:00.000+08:00,2022-12-31T00:00:00.000+08:00,70
WTD202201190078,新蒙物流园,116.59566,40.118003,中国石化西河楞加油站,116.465592,39.997576,钢材,10000,2022-01-19T12:14:00.000+08:00,2022-12-29T00:00:00.000+08:00,15
WTD202201040154,新蒙物流园,116.59566,40.118003,建伟钢构三车间,115.894041,39.570198,钢材,10000,2022-01-04T16:11:00.000+08:00,2022-12-05T00:00:00.000+08:00,20
WTD202110260022,华蒙物流园,109.758835,40.700198,呼和浩特嘉盛新能源有限公司,111.399567,40.691437,螺纹钢,500,2021-10-26T00:00:00.000+08:00,2022-03-26T23:59:59.000+08:00,85.05
WTD202202210135,鼎诺钢铁,109.758835,40.700198,张家峁,110.349215,39.047905,钢材,500,2022-02-21T16:32:00.000+08:00,2022-06-22T00:00:00.000+08:00,100
WTD202202210132,鼎诺钢铁,109.758835,40.700198,内蒙古呼铁轨枕制造有限公司,109.903063,40.681709,钢材,500,2022-02-21T16:13:00.000+08:00,2022-05-22T00:00:00.000+08:00,30
WTD202202170059,鼎诺钢铁,109.758835,40.700198,包头东宝生物生态园,109.897523,40.564341,钢材,500,2022-02-17T11:21:00.000+08:00,2022-03-18T00:00:00.000+08:00,50
WTD202202120067,鼎诺钢铁,109.758835,40.700198,固阳工业园区,110.04833,40.979296,钢材,1000,2022-02-12T19:39:00.000+08:00,2022-12-15T00:00:00.000+08:00,40
WTD202201170127,鼎诺钢铁,109.758835,40.700198,内蒙古呼铁轨枕制造有限公司,109.903063,40.681709,钢材,10000,2022-01-17T18:11:00.000+08:00,2022-12-28T00:00:00.000+08:00,400
WTD202201030063,鼎诺钢铁,109.758835,40.700198,柠条塔工业园区,110.251766,38.994514,钢材,1000,2022-01-03T00:00:00.000+08:00,2022-12-04T23:59:59.000+08:00,70
WTD202112250020,鼎诺钢铁,109.758835,40.700198,小白河,116.609624,40.703069,钢材,10000,2021-12-25T13:06:00.000+08:00,2022-12-26T00:00:00.000+08:00,800
WTD202112230029,鼎诺钢铁,109.758835,40.700198,天镇县扶贫产业园,114.106326,40.428552,钢材,1000,2021-12-02T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,115
WTD202112220162,鼎诺钢铁,109.758835,40.700198,宏泰煤化工有限公司,110.315729,39.176691,钢材,10000,2021-12-22T16:59:00.000+08:00,2022-12-23T00:00:00.000+08:00,60
WTD202112200061,鼎诺钢铁,109.758835,40.700198,包头东宝生物生态园,109.897523,40.564341,钢材,1000,2021-12-20T11:58:00.000+08:00,2022-12-21T00:00:00.000+08:00,50
WTD202202240424,鑫港源顺物流园,109.776093,40.702721,红果子工业园区,106.713122,39.123607,钢材,10000,2022-01-18T00:00:00.000+08:00,2022-12-19T23:59:59.000+08:00,120
WTD202202240417,鑫港源顺物流园,109.776093,40.702721,内蒙古联重金属工程有限责任公司,107.533684,40.820854,钢材,10000,2022-01-15T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,80
