委托单编号,装点,装点经度,装点纬度,卸点,卸点经度,卸点纬度,货物类型,运量,起始日期,截止日期,单价（元/吨或元/车）
WTD202202110175,府谷县野大路,110.535984,39.27193,天津南港储运,117.163444,39.101882,兰炭,1000,2022-02-11T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,245
WTD202201140013,神木市瑞德煤基活性炭有限公司\t,110.185097,38.700185,内蒙古君正能源化工股份有限公司,106.803295,39.904028,兰炭,50000,2021-12-30T00:00:00.000+08:00,2022-05-31T23:59:59.000+08:00,145
WTD202201070189,大邱庄,117.064301,38.836838,锦界工业园区,110.160966,38.737743,钢材,1000,2022-01-07T13:45:00.000+08:00,2022-12-08T00:00:00.000+08:00,3300
WTD202202190052,天津市大邱庄钢材市场,117.465337,38.978323,宜兴创业园,119.876239,31.42395,钢材,500,2022-02-19T15:26:00.000+08:00,2022-06-20T00:00:00.000+08:00,320
WTD202202090114,天津市大邱庄钢材市场,117.465337,38.978323,江苏工业园,115.954874,40.439869,钢材,1000,2022-02-09T17:46:00.000+08:00,2022-12-10T00:00:00.000+08:00,135
WTD202201250085,天津市大邱庄钢材市场,117.465337,38.978323,元福城物流园区,116.315525,39.856538,钢材,10000,2022-01-25T11:49:00.000+08:00,2022-12-31T00:00:00.000+08:00,120
WTD202201230052,天津市大邱庄钢材市场,117.465337,38.978323,肥东县,117.4779,31.878601,钢材,100000,2022-01-23T21:34:00.000+08:00,2022-12-24T00:00:00.000+08:00,280
WTD202202130023,府谷亚博集团,110.590729,39.215883,内蒙古君正能源化工股份有限公司,106.803295,39.904028,兰炭,10000,2022-02-13T09:44:00.000+08:00,2022-05-01T00:00:00.000+08:00,138
WTD202201200097,神木市星东能源,110.421914,39.196826,鄂尔多斯市君正能源化工有限公司,106.801911,39.908522,兰炭,10000,2022-01-14T00:00:00.000+08:00,2022-05-31T23:59:59.000+08:00,180
WTD202202240423,府谷远大活性炭有限公司,110.610301,39.230431,鄂尔多斯市君正能源化工有限公司,106.801911,39.908522,兰炭,10000,2022-01-14T00:00:00.000+08:00,2022-05-31T23:59:59.000+08:00,170
WTD202201050004,府谷县金川鸿泰镁合金有限公司,110.542216,39.226969,内蒙古君正能源化工股份有限公司,106.803295,39.904028,兰炭,50000,2022-01-05T07:14:00.000+08:00,2022-05-31T00:00:00.000+08:00,143
WTD202201250089,天津市华源工业公司天津市汇福金属制品有限公司,117.124856,38.859132,海子乡,110.66304,40.413495,钢材,10000,2022-01-25T13:23:00.000+08:00,2022-12-31T00:00:00.000+08:00,160
WTD202202250165,府谷县东方瑞煤电集团,110.475326,39.223141,内蒙古君正能源化工股份有限公司,106.803295,39.904028,兰炭,10000,2022-01-14T00:00:00.000+08:00,2022-05-31T23:59:59.000+08:00,160
WTD202201160033,府谷县东方瑞煤电集团,110.475326,39.223141,鄂尔多斯市君正能源化工有限公司,106.801911,39.908522,兰炭,10000,2022-01-14T00:00:00.000+08:00,2022-05-31T23:59:59.000+08:00,170
WTD202201180126,府谷县惠西源镁合金有限公司,110.540549,39.236167,鄂尔多斯市君正能源化工有限公司,106.801911,39.908522,兰炭,10000,2022-01-14T00:00:00.000+08:00,2022-05-31T23:59:59.000+08:00,175
WTD202112310001,府谷县惠西源镁合金有限公司,110.540549,39.236167,内蒙古君正能源化工股份有限公司,106.803295,39.904028,兰炭,50000,2021-12-29T00:00:00.000+08:00,2022-05-31T23:59:59.000+08:00,153
WTD202201200090,府谷县泰达煤化有限公司,110.740764,39.28177,鄂尔多斯市君正能源化工有限公司,106.801911,39.908522,兰炭,10000,2022-01-16T00:00:00.000+08:00,2022-05-31T23:59:59.000+08:00,165
WTD202201250075,陕西莱德集团华盛炭质还原剂有限公司,110.337281,39.2485,内蒙古君正能源化工股份有限公司,106.803295,39.904028,兰炭,10000,2022-01-14T00:00:00.000+08:00,2022-05-31T23:59:59.000+08:00,153
WTD202201170131,陕西莱德集团华盛炭质还原剂有限公司,110.337281,39.2485,鄂尔多斯市君正能源化工有限公司,106.801911,39.908522,兰炭,10000,2022-01-17T18:21:00.000+08:00,2022-05-31T00:00:00.000+08:00,180
WTD202112310489,林鑫石料厂,116.616067,39.805992,沙圪堵镇东屹化工,110.856505,39.708118,石灰石,15000,2022-01-01T00:00:00.000+08:00,2022-06-30T00:00:00.000+08:00,65
WTD202112310483,大羊村磊鑫石料厂,116.804124,39.69829,沙圪堵镇东屹化工,110.856505,39.708118,石灰石,15000,2022-01-01T00:00:00.000+08:00,2022-06-30T00:00:00.000+08:00,65
WTD202111100028,准格尔旗山贵煤炭,110.645048,39.308624,包钢海南矿业公司,116.315666,40.04292,粉煤,15000,2021-11-10T00:00:00.000+08:00,2022-11-10T23:59:59.000+08:00,240
WTD202112150103,公格沟活鸡兔大桥,110.645048,39.308624,图克镇大2线呼吉尔特村,109.383867,38.998551,煤炭,200000,2021-12-15T00:00:00.000+08:00,2022-12-31T00:00:00.000+08:00,50
WTD202112130075,内蒙古汇能集团尔林兔煤炭有限公司,110.010325,39.216567,图克镇大2线呼吉尔特村,109.383867,38.998551,煤炭,500000,2021-12-13T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,55
WTD202202280154,宝丰能源循环经济工业基地,116.619937,39.939137,内蒙古君正能源化工股份有限公司,106.803295,39.904028,冶金焦,5000,2022-02-28T00:00:00.000+08:00,2022-05-01T23:59:59.000+08:00,70
WTD202201160037,凯达煤矿,110.632459,39.364353,大路伊泰煤制油,111.265994,40.077677,沫煤,49,2022-01-16T14:32:00.000+08:00,2022-12-31T00:00:00.000+08:00,67.25
WTD202202280161,贾家畔村七贾公路聚富义煤业,110.470688,38.019671,沙圪堵镇府谷古城集运有限公司,109.811088,39.930931,粉煤,999999,2022-02-28T00:00:00.000+08:00,2022-10-31T00:00:00.000+08:00,85
WTD202202140068,内蒙古正能化工集团,110.40984,39.353853,内蒙古君正能源化工股份有限公司,106.803295,39.904028,兰炭,10000,2022-02-14T14:16:00.000+08:00,2022-05-01T00:00:00.000+08:00,130
WTD202202220089,壕羊公路宏顺洗煤厂,116.535069,39.868331,沙圪堵镇府谷古城集运有限公司,109.811088,39.930931,粉煤,999999,2022-02-21T00:00:00.000+08:00,2022-07-29T23:59:59.000+08:00,55
WTD202202170068,内蒙古汇能集团宝平湾煤炭有限责任公司,116.064843,40.204617,天津琦晟储运有限公司,117.569995,38.949487,煤炭,3000,2022-02-17T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,305
WTD202202190058,准格尔旗弓家塔宝平湾煤炭有限责任公司,110.484509,39.371793,天津琦晟储运有限公司,117.569995,38.949487,煤炭,3000,2022-02-19T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,305
WTD202112310486,吴辛寨隧道,116.061485,39.9966,沙圪堵镇东屹化工,110.856505,39.708118,石灰石,15000,2022-01-01T00:00:00.000+08:00,2022-06-30T00:00:00.000+08:00,65
WTD202201170124,汇能集团新联煤焦有限公司,116.661898,40.091181,内蒙古君正能源化工股份有限公司,106.803295,39.904028,兰炭,10000,2022-01-14T00:00:00.000+08:00,2022-05-31T23:59:59.000+08:00,160
WTD202202240426,内蒙古鄂尔多斯准格尔旗纳日松镇长渠沟纳林庙矿,110.570637,39.414171,内蒙古鄂尔多斯准格尔旗五字湾站,110.829879,39.453119,纳林庙-原煤,20000,2022-02-24T22:42:00.000+08:00,2022-03-05T00:00:00.000+08:00,43
WTD202110300017,赵家阳坡,110.570637,39.414171,乌海包钢海南矿业,106.891944,39.615551,粉煤,15000,2021-10-30T00:00:00.000+08:00,2022-10-30T23:59:59.000+08:00,220
WTD202202270033,恒悦洗煤厂,110.275083,39.385684,君正集团,116.284311,40.045929,13籽,999999,2022-01-14T00:00:00.000+08:00,2022-05-30T00:00:00.000+08:00,150
WTD202202080080,恒悦洗煤厂,110.275083,39.385684,乌达经济开发区化工路南400米,106.724448,39.472818,13籽,999999,2022-01-14T00:00:00.000+08:00,2022-04-30T00:00:00.000+08:00,125
WTD202202230110,伊金霍洛旗振兴煤炭有限责任公司,110.370736,39.404958,天津琦晟储运有限公司,117.569995,38.949487,煤炭,1000,2022-02-23T00:00:00.000+08:00,2022-03-31T00:00:00.000+08:00,310
WTD202112130065,五升梁,110.47125,39.422795,小长地,103.597735,26.382439,煤炭,100000,2021-12-13T00:00:00.000+08:00,2022-05-31T00:00:00.000+08:00,245
WTD202112130064,五升梁,110.47125,39.422795,小长地,103.597735,26.382439,煤炭,100000,2021-12-13T00:00:00.000+08:00,2022-05-31T00:00:00.000+08:00,240
WTD202201110004,布尔洞,116.441058,39.936209,灵丘大涧金源祥煤厂,114.305717,39.482148,原煤,999999,2022-01-07T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,190
WTD202201090079,东达矿,116.986517,35.100397,灵丘大涧金源祥煤厂,114.305717,39.482148,原煤,999999,2022-01-07T00:00:00.000+08:00,2022-12-31T23:59:59.000+08:00,190
